SID,name,data_set,lat,lon,shelter_type
264,Poplar Ridge Lean-to,TNL,44.97,-70.44534,Lean-to
265,Spaulding Mountain Lean-to,TNL,44.99577,-70.34134,Lean-to
266,Horns Pond Lean-to (west),ATC,45.14393,-70.33022,Log/Lumber
267,Little Bigelow Lean-to,TNL,45.13917,-70.19115,Lean-to
268,West Carry Pond Lean-to,TNL,45.15803,-70.09977,Lean-to
269,Pierce Pond Lean-to,TNL,45.24025,-70.05548,Lean-to
270,Pleasant Pond Lean-to,TNL,45.27119,-69.91675,Lean-to
271,Bald Mountain Brook Lean-to,TNL,45.25854,-69.79947,Lean-to
272,Moxie Bald Lean-to,TNL,45.27068,-69.74534,Lean-to
273,Horseshoe Canyon Lean-to,TNL,45.28274,-69.62759,Lean-to
274,Leeman Brook Lean-to,TNL,45.35151,-69.49877,Lean-to
275,Wilson Valley Lean-to,TNL,45.39873,-69.45921,Lean-to
276,Long Pond Stream Lean-to,TNL,45.4211,-69.4096,Lean-to
277,Cloud Pond Lean-to,TNL,45.41804,-69.35322,Lean-to
278,Chairback Gap Lean-to,TNL,45.45311,-69.26174,Lean-to
279,Carl A. Newhall Lean-to,TNL,45.53106,-69.31513,Lean-to
280,Logan Brook Lean-to,TNL,45.5609,-69.23512,Lean-to
281,East Branch Lean-to,TNL,45.59676,-69.19816,Lean-to
282,Cooper Brook Falls Lean-to,TNL,45.6405,-69.0874,Lean-to
283,Potaywadjo Spring Lean-to,TNL,45.70653,-69.00738,Lean-to
284,Wadleigh Stream Lean-to,TNL,45.74702,-69.14447,Lean-to
285,Rainbow Stream Lean-to,TNL,45.79906,-69.17041,Lean-to
286,Hurd Brook Lean-to,TNL,45.81852,-69.01847,Lean-to
287,The Birches Shelters,TNL,45.88675,-68.99905,Shelter
