shelter,data_set,lat,lon,type
Roaring Fork,ATC,35.805120,-82.949530,Log
Groundhog Creek,ATC,35.781742,-83.026452,Stone
Jeffers Brook,ATC,43.996710,-71.889480,Log
Knot Maul Branch Shelter,TNL,37.000800,-81.404460,Shelter
Logan Brook Lean-to,TNL,45.560900,-69.235120,Lean-to
Gray Knob,TNL,44.332260,-71.310040,Unknown
The Priest Shelter,TNL,37.817650,-79.070330,Shelter
Old Job Shelter,TNL,43.354040,-72.928450,Shelter
Brassie Brook Lean-to,TNL,42.028350,-73.453350,Lean-to
Carlo Col,ATC,44.488704,-71.016735,Log
Stony Brook Shelter,TNL,43.691760,-72.730150,Shelter
Doc's Knob,ATC,37.270267,-80.836393,Log w/siding
Wise Shelter,TNL,36.654000,-81.498360,Shelter
Tri-corner Knob,ATC,35.693726,-83.256785,Stone/Log
Deer Lick Shelters,TNL,39.766150,-77.484800,Shelter
Rocky Run,ATC,39.462144,-77.631068,Log
Bromley Shelter,TNL,43.222380,-72.950480,Shelter
Sabbath Day Pond Lean-to,TNL,44.840940,-70.662120,Lean-to
James Fry at Tagg Run,ATC,40.062937,-77.206432,Stick
Brink Road Shelter,TNL,41.153230,-74.837770,Shelter
Peru Peak Shelter,TNL,43.301200,-72.951850,Shelter
Rainbow Stream Lean-to,TNL,45.799060,-69.170410,Lean-to
October Mountain Lean-to,TNL,42.354930,-73.154040,Lean-to
Baldpate Lean-to,TNL,44.598420,-70.911670,Lean-to
Hogback Ridge Shelter,TNL,35.964080,-82.587130,Shelter
Flint Mountain,ATC,36.034770,-82.596780,Unknown
Abingdon Gap,ATC,36.580857,-81.901967,Cinder_Block
Allentown Shelter,TNL,40.683050,-75.873850,Shelter
Thomas Knob Shelter,TNL,36.656600,-81.535240,Shelter
Vandeventer Shelter,TNL,36.367070,-82.058770,Shelter
William B. Douglas Shelter,TNL,43.144400,-72.990980,Shelter
Telephone Pioneers,ATC,41.603841,-73.619268,Log/Lumber
Hurricane Mountain Shelter,TNL,36.715360,-81.509520,Shelter
Wildcat Shelter,TNL,41.268240,-74.267770,Shelter
Pochuck Mountain,ATC,41.271260,-74.515345,Other
Ethan Pond Campsite Shelter,TNL,44.177150,-71.426590,Shelter
Siler Bald Shelter,TNL,35.144220,-83.572470,Shelter
Mashipicong,ATC,41.252159,-74.686359,Stone
Little Rock Pond,ATC,43.398837,-72.955171,Timber_Frame
Minerva Hinchey,ATC,43.487880,-72.925020,Other
Glen Brook Lean-to,TNL,42.111020,-73.427250,Lean-to
Full Goose,ATC,44.525252,-70.981400,Log w/siding
The Place,TNL,36.633890,-81.787280,Unknown
Cove Mountain,ATC,37.511571,-79.650958,Lumber
The Perch Shelter,TNL,44.324460,-71.310480,Shelter
Trimpi Shelter,TNL,36.749390,-81.480410,Shelter
Moxie Bald Lean-to,TNL,45.270680,-69.745340,Lean-to
Pine Swamp Brook Lean-to,TNL,41.881670,-73.391610,Lean-to
Bromley,ATC,43.222413,-72.950996,Post_&_Beam
Clarendon,ATC,43.523667,-72.913118,Stick_w/Lumber_sidng
Wawayanda Shelter,TNL,41.202210,-74.397710,Shelter
Clarks Ferry Shelter,TNL,40.392380,-76.994120,Shelter
Pine Swamp,ATC,37.421984,-80.608683,Stone
Catawba,ATC,37.388205,-80.057094,Stick_w/Lumber_sidng
Johns Hollow Shelter,TNL,37.612920,-79.391780,Shelter
Spring Mountain Shelter,TNL,35.951770,-82.790070,Shelter
Mt. Algo Lean-to,TNL,41.731800,-73.495810,Lean-to
Deep Gap Shelter,TNL,34.882480,-83.645910,Shelter
Birch Run,ATC,39.985099,-77.419760,Lumber
Potaywadjo Spring Lean-to,TNL,45.706530,-69.007380,Lean-to
Whitley Gap,ATC,34.712485,-83.834447,Log/Lumber
Congdon Shelter,TNL,42.848070,-73.109940,Shelter
Wayah Shelter,TNL,35.189460,-83.564410,Shelter
Mount Collins,ATC,35.593923,-83.471070,Stone
Kinsman Pond,ATC,44.136920,-71.732886,Log/Lumber
Mollies Ridge,ATC,35.545757,-83.793667,Stone
Jenkins,ATC,37.093350,-81.247814,Log w/siding
Bald Mountain,ATC,36.000070,-82.478230,Stick_w/ply_siding
Alec Kennedy,ATC,40.111762,-77.104367,Lumber
Sassafras Gap Shelter,TNL,35.330870,-83.666880,Shelter
Quarry Gap Shelters,TNL,39.931980,-77.486380,Shelter
Tricorner Knob Shelter,TNL,35.693760,-83.256530,Shelter
Watauga Lake,ATC,36.313900,-82.129550,Stick_w/ply_siding
Carl A. Newhall Lean-to,TNL,45.531060,-69.315130,Lean-to
Rausch Gap,ATC,40.498640,-76.600470,Log
Gentian Pond Campsite Shelter,TNL,44.451800,-71.069380,Shelter
Catawba Mountain Shelter,TNL,37.388180,-80.057140,Shelter
High Point,ATC,41.315758,-74.657674,Stone
Wiley Shelter,TNL,41.637820,-73.532390,Shelter
Limestone Spring Lean-to,TNL,41.975360,-73.392310,Lean-to
Bemis Mountain Lean-to,TNL,44.810180,-70.755880,Lean-to
Eckville,ATC,40.633740,-75.958260,Other
Knot Maul,ATC,37.000724,-81.404647,Log/Lumber
Stover Creek Shelter,TNL,34.649060,-84.200090,Shelter
Maupin Field Shelter,TNL,37.884900,-78.993630,Shelter
Eagles Nest Shelter,TNL,40.549330,-76.152390,Shelter
High Point Shelter,TNL,41.315750,-74.657260,Shelter
Laurel Fork Shelter,TNL,36.278760,-82.136230,Shelter
Governor Clement Shelter,TNL,43.564650,-72.848360,Shelter
Rocky Mountain Shelters,TNL,39.868520,-77.500600,Shelter
Matts Creek,ATC,37.599466,-79.413478,Stick_w/Lumber_sidng
Madison Springs Hut,TNL,44.327790,-71.283180,Hut
Melville Nauheim,ATC,42.887841,-73.095560,Other
Toms Run Shelters,TNL,40.033670,-77.356780,Shelter
Ethan Pond,ATC,44.177209,-71.427339,Log
Speck Pond Lean-to,ATC,44.564777,-70.974140,Stick_w/Lumber_sidng
Davis Path camp,TNL,36.914510,-81.376720,Unknown
Piazza Rock Lean-to,TNL,44.904180,-70.530040,Lean-to
Rufus Morgan,ATC,35.324202,-83.590230,Log
Spence Field,ATC,35.561784,-83.732667,Stone/Log
Rod Hollow Shelter,TNL,39.047630,-77.944080,Shelter
Black Gap Shelter,TNL,34.617680,-84.198710,Shelter
Calf Mountain Shelter,TNL,38.085530,-78.785550,Shelter
Long Pond Lean-to,ATC,45.421148,-69.410230,Log/Lumber
Lost Mountain,ATC,36.644078,-81.656132,Log
Madison Spring Hut,ATC,44.327842,-71.283795,Stick_w/Lumber_sidng
Windsor Furnace,ATC,40.590540,-75.941600,Log
Seeley-Woodworth Shelter,TNL,37.818970,-79.154880,Shelter
Double Springs Shelter,TNL,36.509110,-81.986060,Shelter
Brown Fork Gap,ATC,35.374168,-83.734021,Log
Alec Kennedy Shelter,TNL,40.111780,-77.104030,Shelter
Kid Gore,ATC,43.014162,-73.043415,Log/Lumber
Eckville Shelter,TNL,40.633750,-75.957890,Shelter
Rice Field,ATC,37.374833,-80.758556,Log/Lumber
Blue Mountain Shelter,TNL,34.817240,-83.766680,Shelter
Bailey Gap Shelter,TNL,37.400950,-80.577020,Shelter
Governor Clement,ATC,43.564670,-72.848850,Stone
Deer Lick,ATC,39.766125,-77.485119,Lumber
Jerry Cabin,TNL,36.056550,-82.657130,Unknown
Lonesome Lake Hut,TNL,44.138420,-71.703120,Hut
The Hemlocks Lean-to,TNL,42.109680,-73.428650,Lean-to
Carter Gap Shelter (new),TNL,34.999020,-83.494080,Shelter
Trapper John,ATC,43.783122,-72.111921,Stick_w/Lumber_sidng
Tray Mountain,ATC,34.804000,-83.676886,Log/Lumber
Quarry Gap,ATC,39.931963,-77.486690,Log/Lumber
Sam Moore Shelter,TNL,39.090670,-77.886270,Shelter
Fontana Dam,ATC,35.448384,-83.794020,Stick_w/T1_siding
Hightop Hut,TNL,38.333140,-78.558360,Hut
Whitley Gap Shelter,TNL,34.712500,-83.834280,Shelter
Little Laurel,ATC,36.015012,-82.736067,Stone/Log
Pico Camp Shelter,TNL,43.638900,-72.831010,Shelter
Rice Field Shelter,TNL,37.374850,-80.758350,Shelter
Tucker Johnson removed,TNL,43.679430,-72.842950,Unknown
Pine Swamp Branch Shelter,TNL,37.422040,-80.608400,Shelter
Rod Hollow,ATC,39.047597,-77.944371,Log/Lumber
Pass Mountain Hut,TNL,38.676600,-78.318900,Hut
Birch Run Shelters,TNL,39.985120,-77.419430,Shelter
501 Shelter,TNL,40.513120,-76.346400,Shelter
Minerva Hinchey Shelter,TNL,43.487860,-72.924530,Shelter
Rock Gap Shelter,TNL,35.091590,-83.523030,Shelter
Punchbowl,ATC,37.677827,-79.338693,Stick_w/T1_siding
Derrick Knob Shelter,TNL,35.566350,-83.641790,Shelter
Wilbur Clearing Lean-to,TNL,42.667760,-73.170150,Lean-to
War Spur Shelter,TNL,37.397570,-80.473820,Shelter
Wayah Bald,ATC,35.187702,-83.562139,Log/Lumber
